tt0002001|The Alaska-Siberian Expedition|1912|Unavailable|Documentary
tt0002019|Amor de bestia|1912|Unavailable|Unavailable
tt0002022|Anfisa|1912|Unavailable|Drama
tt0002026|Anny - Story of a Prostitute|1912|68|Drama,Romance
tt0002039|Atop of the World in Motion|1912|Unavailable|Documentary
tt0002046|La Barrera número 13|1913|Unavailable|Unavailable
tt0002047|A Batalha|1912|Unavailable|Documentary
tt0002060|Bernáték kikocsiznak|1912|Unavailable|Unavailable
tt0002088|Carlota Angela|1912|Unavailable|Unavailable
tt0002094|Charles IV|1912|50|Unavailable
tt0002112|Concurso Hípico no Porto|1912|Unavailable|Documentary
tt0002115|La conspiration des drapeaux|1912|Unavailable|Unavailable
tt0002119|The Crime and the Criminal|1912|Unavailable|Unavailable
tt0002131|A Dança dos Apaches|1912|Unavailable|Unavailable
tt0002140|Do Men Love Women?|1912|Unavailable|Unavailable
tt0002152|Dødskysset|1915|Unavailable|Drama
tt0002153|The Great Circus Catastrophe|1912|45|Drama
tt0002161|Episódios da Terrível Explosão de Bombas no Porto|1912|Unavailable|Documentary
tt0002165|Excursión a San Lorenzo de Munt|1912|Unavailable|Unavailable
tt0002180|Fiesta colombófila en el Tibidabo|1912|Unavailable|Unavailable
tt0002188|For Freedom of Cuba|1912|Unavailable|Unavailable
tt0002199|From the Manger to the Cross; or, Jesus of Nazareth|1912|60|Biography,Drama
tt0002211|Den glade løjtnant|1912|Unavailable|Romance
tt0002262|Il y a des pieds au plafond|1912|Unavailable|Unavailable
tt0002276|De industrieel van Pont Avesnes|1912|Unavailable|Unavailable
tt0002305|Life of Villa|1912|Unavailable|Documentary,War
tt0002315|El lobo de la sierra|1912|76|Unavailable
tt0002333|The Might of Gold|1912|Unavailable|Unavailable
tt0002337|The Mail Order Wife|1912|Unavailable|Unavailable
tt0002345|Marocco en het Vreemdelingenlegioen|1912|Unavailable|Unavailable
tt0002348|Maskierte Liebe|1912|Unavailable|Unavailable
tt0002362|The Mighty Dollar|1912|Unavailable|Unavailable
tt0002425|Paul J. Rainey's African Hunt|1912|Unavailable|Documentary
tt0002431|La pierre philosophe|1912|Unavailable|Unavailable
tt0002432|Los Pirineos de Port-Bou a Andorra|1912|58|Unavailable
tt0002446|Race for a Life|1912|Unavailable|Unavailable
tt0002452|The Independence of Romania|1912|120|History,War
tt0002458|Revolución orozquista|1912|Unavailable|Unavailable
tt0002459|The Reward for Broncho Billy|1912|Unavailable|Drama,Western
tt0002461|The Life and Death of King Richard III|1912|55|Drama
tt0002467|Romani, the Brigand|1912|Unavailable|Unavailable
